BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,INDICE_INFORMALIDADE,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE
Camorim,82.78333333333333,4199,1.612,1682679,2.29,0.009834813753325051,2044.91,2.02
Cidade Nova,96.50833333333333,1960,2.542,345756,1.898,0.0,2612.06,1.85
Santo Cristo,103.46666666666668,3911,1.824,177515,1.422,0.008181014812683983,2795.97,1.85
Glória,218.775,4798,2.428,19044,1.137,0.0,8148.03,1.34
Estácio,67.51666666666667,3814,1.549,36829,1.112,0.12969663924882938,2756.2,1.22
Vicente de Carvalho,53.975,5278,1.313,292115,1.383,0.1697875345483741,2366.78,1.14
Catete,148.09166666666664,7211,1.638,217784,1.419,0.09520753658523019,7202.38,1.03
Jacarepaguá,40.75833333333334,36857,1.026,33775508,4.832,0.032546379109813436,2121.84,0.96
Pitangueiras,41.0,1430,1.894,110168,1.33,0.21124978740944061,2224.82,0.92
Urca,278.1,2186,5.0,7355,1.198,0.005451123306181311,15250.62,0.91
Gardênia Azul,39.3,4203,1.285,277892,1.362,0.14300307923432234,2207.03,0.89
Santa Teresa,78.88749999999999,10266,1.233,453588,1.462,0.06612156111782133,4452.81,0.89
Centro,87.51666666666667,22557,1.113,106265,1.155,0.00035812454740104683,5090.52,0.86
Inhaúma,46.40833333333333,9125,1.151,437197,1.417,0.04322327401930107,2751.68,0.84
Itanhangá,38.20833333333333,4513,1.257,4401808,2.649,0.048800589780946396,2588.24,0.74
Rio Comprido,45.23333333333333,8898,1.151,433382,1.414,0.1569063498519481,3101.17,0.73
Parada de Lucas,29.616666666666667,5906,1.149,115747,1.174,0.1184920385817338,2342.36,0.63
Rocha,36.53333333333333,5730,1.192,69275,1.123,0.0,2902.54,0.63
Jacaré,26.5,1899,1.43,41416,1.108,0.03007549978413102,2142.79,0.62
Guaratiba,28.225,15864,1.047,35276898,5.0,0.019298303151504645,2283.13,0.62
Santa Cruz,26.1,40897,1.011,23345294,4.124,0.019516712983507233,2231.4,0.58
Inhoaíba,25.7,6730,1.111,2708309,2.117,0.1357200315243759,2271.0,0.57
Penha,34.81666666666666,14944,1.064,1060606,1.636,0.10312273998708094,3089.56,0.56
Tomás Coelho,29.016666666666666,6819,1.125,710011,1.539,0.15462275437118647,2758.79,0.53
Cosmos,25.40833333333333,13755,1.049,4516781,2.381,0.04687908494310461,2411.32,0.53
Riachuelo,48.1,5127,1.286,179589,1.275,0.0,4620.93,0.52
Honório Gurgel,29.716666666666665,4540,1.197,349627,1.382,0.08808509715489005,2844.32,0.52
Cordovil,24.258333333333333,9568,1.071,575130,1.45,0.044495538929824024,2390.03,0.51
Vila Kosmos,31.866666666666667,4514,1.213,274414,1.334,0.07066481829637074,3131.46,0.51
Paciência,23.366666666666667,15477,1.038,14841011,3.543,0.07068455229660842,2358.03,0.5
Ipanema,184.21666666666667,21788,1.257,10130,1.0,0.021900442315395847,18604.77,0.5
Santíssimo,26.48333333333333,4875,1.162,4539029,2.542,0.07246133384837189,2709.51,0.49
Flamengo,117.0,25506,1.135,30889,1.048,0.01308767988574368,12194.52,0.48
Vargem Grande,34.8,3521,1.302,15572315,4.29,0.007526364805011542,3622.3,0.48
Piedade,32.766666666666666,11980,1.077,414532,1.372,0.09775613354675562,3411.23,0.48
Bangu,24.9,45129,1.008,15392945,3.514,0.04462817787000245,2620.63,0.48
São Francisco Xavier,44.98333333333333,2924,1.476,234010,1.386,0.11883459732801456,4653.59,0.48
Guadalupe,29.433333333333337,10160,1.082,413963,1.374,0.13522191887378657,3123.81,0.47
Vigário Geral,22.48333333333333,4909,1.135,657873,1.521,0.17636671496555703,2393.85,0.47
Leme,126.25,5762,1.681,15232,1.053,0.12371059846748989,13824.53,0.46
Bento Ribeiro,36.65833333333333,9612,1.111,239241,1.274,0.010366526443414988,3980.06,0.46
Praça da Bandeira,57.241666666666674,3486,1.508,16642,1.045,0.0,6393.94,0.45
Turiaçú,27.9,3392,1.25,982607,1.731,0.0,3131.32,0.45
Rocha Miranda,27.2,9197,1.084,559305,1.449,0.042903935970775624,3181.98,0.43
Colégio,21.73333333333333,4520,1.142,231194,1.277,0.10242139633151467,2545.26,0.43
Maria da Graça,34.2,2777,1.379,12964,1.02,0.0,4083.68,0.42
Cascadura,26.85833333333333,8761,1.087,507252,1.425,0.10414498917614137,3236.21,0.41
Del Castilho,30.508333333333333,5441,1.167,321941,1.352,0.07735128484973681,3848.61,0.4
Irajá,32.25,26601,1.029,800951,1.522,0.023268437746637734,4042.14,0.4
Osvaldo Cruz,29.008333333333333,8344,1.1,144150,1.191,0.0,3650.91,0.4
Copacabana,91.39166666666664,75872,1.029,217411,1.232,0.0461067448020414,11850.98,0.39
Curicica,27.73333333333333,6261,1.13,1058481,1.68,0.07548152497426665,3558.87,0.39
Cavalcanti,21.875,3773,1.173,687778,1.556,0.12023403273460377,2826.08,0.39
Leblon,154.575,22244,1.21,73218,1.132,0.0,20195.51,0.38
Madureira,26.275,12583,1.056,700308,1.497,0.1178482889463523,3436.78,0.38
Engenho Novo,30.008333333333333,13788,1.059,605366,1.458,0.1238849964726839,3993.23,0.38
Tanque,28.325,5942,1.141,1155738,1.722,0.08956860397702232,3686.06,0.38
Brás de Pina,20.383333333333333,13117,1.04,402500,1.35,0.10145293773201644,2742.46,0.37
Vargem Pequena,30.1,6648,1.133,10011496,3.271,0.015506239893090499,4046.68,0.37
Taquara,33.733333333333334,32719,1.023,3174771,2.114,0.028540947682006393,4655.31,0.36
Cachambi,42.55833333333333,13204,1.092,76274,1.115,0.007549552918169365,5893.61,0.36
Encantado,26.48333333333333,4667,1.17,35902,1.062,0.016702516761675973,3644.5,0.36
Sampaio,23.466666666666665,2022,1.356,156219,1.269,0.1046314572082553,3268.17,0.36
Andaraí,48.46666666666667,12440,1.113,151016,1.201,0.14594501658381415,6959.5,0.35
São Cristóvão,28.4,9018,1.09,357971,1.345,0.0,4017.77,0.35
Pavuna,18.2,18951,1.021,2044400,1.875,0.11890027161675502,2590.19,0.35
Campo Grande,26.6,89855,1.0,26645069,4.306,0.01487380730333084,3814.09,0.35
Olaria,28.6,15376,1.049,352640,1.326,0.12443125013398472,4174.29,0.34
Laranjeiras,88.57499999999999,19761,1.132,216449,1.263,0.019185857042974173,12930.58,0.34
Lins de Vasconcelos,28.566666666666663,9058,1.09,498043,1.422,0.0,4191.57,0.34
Vila da Penha,37.30833333333334,9996,1.108,18140,1.015,0.0,5564.43,0.34
Engenho da Rainha,20.25,4228,1.142,814235,1.594,0.0751736461807993,2965.45,0.34
Engenho de Dentro,30.825000000000003,16654,1.049,1856856,1.855,0.02501028568905637,4628.03,0.33
Portuguesa,36.36666666666667,6950,1.156,23031,1.032,0.07744697799489117,5536.08,0.33
Padre Miguel,17.5,9958,1.046,1236081,1.681,0.12048966542442914,2795.06,0.31
Ramos,22.85,10417,1.06,190054,1.22,0.03181034078292053,3860.36,0.3
Quintino Bocaiúva,21.9,8565,1.071,209404,1.239,0.027388417037889846,3697.15,0.3
Vaz Lobo,21.98333333333333,2860,1.233,190086,1.27,0.11221413356750416,3642.7,0.3
Jardim América,19.45,6313,1.088,223535,1.255,0.014976555712661417,3257.84,0.3
Humaitá,85.21666666666667,6964,1.376,197026,1.318,0.004884785351191458,14795.53,0.29
Praça Seca,23.15,16312,1.035,2290394,1.945,0.18934094139424082,3976.69,0.29
Pilares,18.816666666666663,6903,1.077,104684,1.146,0.09885000028939035,3281.44,0.29
São Conrado,96.2,3910,1.766,2269698,2.664,0.003302826536842971,16562.34,0.29
Freguesia (Jacarepaguá),46.46666666666667,22038,1.057,1211889,1.681,0.02965303978497573,8424.71,0.28
Bonsucesso,23.3,7383,1.09,175780,1.217,0.018434970180019276,4196.47,0.28
Anil,31.933333333333337,10877,1.083,614694,1.474,0.07856407841236991,5752.23,0.28
Marechal Hermes,20.375,9598,1.058,424495,1.37,0.07963918233169336,3626.21,0.28
Penha Circular,20.416666666666664,12340,1.043,5772935,2.562,0.05901067307999086,3711.33,0.28
Pechincha,38.016666666666666,12647,1.085,294368,1.303,0.01848949508079695,7138.92,0.27
Jardim Botânico,94.4,6789,1.429,421699,1.526,0.023404461196427757,17415.02,0.27
Todos os Santos,39.1,8051,1.144,124045,1.181,0.0012674957918959212,7556.04,0.26
Higienópolis,21.5,5083,1.124,42367,1.069,0.027830459754865887,4104.73,0.26
Engenheiro Leal,14.325,1135,1.388,97596,1.202,0.14020812299133092,2816.22,0.25
Vila Isabel,37.35833333333333,27838,1.033,311784,1.296,0.1157750172482162,7408.42,0.25
Méier,36.75833333333334,16931,1.059,38355,1.053,0.0019181016340270285,7332.22,0.25
Jardim Sulacap,28.566666666666663,4760,1.18,3833378,2.434,0.0017616136177674986,6017.53,0.24
Recreio dos Bandeirantes,60.175,47152,1.031,19171173,3.881,0.017211814509075975,12405.92,0.24
Barra da Tijuca,86.4,61796,1.035,15409715,3.585,0.00022075517568468303,17814.71,0.24
Senador Vasconcelos,12.6,4470,1.08,2971862,2.139,0.04295333442684535,2652.0,0.24
Maracanã,49.85,11655,1.125,46457,1.076,0.0,10384.81,0.24
Campinho,19.575,2269,1.263,128962,1.215,0.08436564994076798,4241.52,0.23
Botafogo,62.3,37501,1.043,274254,1.276,0.02267110424842157,13679.29,0.23
Tijuca,43.55833333333334,49028,1.019,687909,1.472,0.09914102547568883,10097.87,0.22
Ribeira,32.1,1491,1.669,56619,1.178,0.0,7345.97,0.22
Abolição,19.791666666666664,3821,1.154,20761,1.026,0.0,4661.8,0.21
Grajaú,36.8,13807,1.075,400681,1.364,0.025006119663779157,8945.35,0.21
Vila Valqueire,23.98333333333333,12381,1.052,650275,1.474,0.020587464102434044,6263.79,0.19
Lagoa,81.05,9094,1.272,71335,1.14,0.0,21896.96,0.19
Benfica,7.9,4151,1.051,131164,1.167,0.09961718980468746,2337.67,0.17
Cosme Velho,38.2,1717,1.692,163167,1.366,0.08483644365902429,10977.76,0.17
Vista Alegre,14.2,2763,1.153,12291,1.001,0.0,4839.54,0.15
Gávea,39.2,6414,1.183,488794,1.46,0.01579524426524668,15733.0,0.12
Jardim Guanabara,24.816666666666663,11615,1.058,134343,1.172,0.0044875884825562986,10566.68,0.12
Joá,23.7,390,2.906,408597,2.137,0.0,13773.18,0.09
