BAIRRO,PREÇO POR METRO
Abolição,23.75
Andaraí,23.65
Anil,37.1
Barra da Tijuca,87.85
Bento Ribeiro,31.2
Bonsucesso,26.8
Botafogo,40.8
Brás de Pina,18.3
Cachambi,35.349999999999994
Camorim,91.2
Campinho,30.65
Campo Grande,27.2
Cascadura,30.65
Catete,147.7
Cavalcanti,21.6
Centro,66.1
Cidade Nova,55.050000000000004
Colégio,31.4
Copacabana,102.7
Cordovil,24.3
Cosmos,19.450000000000003
Curicica,33.7
Del Castilho,25.25
Encantado,28.4
Engenheiro Leal,16.950000000000003
Engenho Novo,30.05
Engenho da Rainha,22.5
Engenho de Dentro,31.65
Estácio,64.1
Flamengo,74.5
Freguesia (Jacarepaguá),46.1
Glória,172.65
Grajaú,33.3
Guadalupe,36.099999999999994
Guaratiba,27.95
Gávea,53.2
Higienópolis,21.5
Honório Gurgel,26.3
Humaitá,88.3
Inhaúma,31.9
Inhoaíba,22.7
Ipanema,181.5
Irajá,30.700000000000003
Itanhangá,36.25
Jacarepaguá,46.7
Jardim América,21.3
Jardim Botânico,108.39999999999999
Jardim Guanabara,22.9
Jardim Guandu,22.6
Jardim Sulacap,30.900000000000002
Joá,23.7
Lagoa,81.05
Lapa,63.6
Laranjeiras,86.45
Leblon,136.95
Leme,198.6
Lins de Vasconcelos,34.9
Madureira,24.7
Maracanã,46.6
Marechal Hermes,22.2
Maria da Graça,34.2
Méier,35.3
Olaria,27.6
Osvaldo Cruz,23.3
Paciência,23.700000000000003
Parada de Lucas,28.700000000000003
Pavuna,18.2
Pechincha,39.2
Penha,23.9
Penha Circular,20.4
Piedade,23.35
Pilares,23.05
Portuguesa,30.7
Praça Seca,24.8
Praça da Bandeira,50.7
Quintino Bocaiúva,21.5
Ramos,21.6
Recreio dos Bandeirantes,59.6
Riachuelo,25.4
Ribeira,32.1
Rio Comprido,35.4
Rocha,39.3
Sampaio,24.8
Santa Teresa,78.8
Santo Cristo,90.8
Santíssimo,28.4
Senador Vasconcelos,12.6
São Conrado,96.2
São Cristóvão,44.4
São Francisco Xavier,35.4
Tanque,26.45
Taquara,33.2
Tijuca,48.2
Todos os Santos,27.6
Tomás Coelho,27.1
Urca,278.1
Vargem Grande,35.0
Vargem Pequena,34.1
Vaz Lobo,10.35
Vicente de Carvalho,39.6
Vigário Geral,24.9
Vila Isabel,38.4
Vila Kosmos,31.450000000000003
Vila Valqueire,27.9
Vila da Penha,54.35
Vista Alegre,14.2
Vl Valqueire,28.9
Váz Lobo,18.6
