BAIRRO,PREÇO POR METRO
Abolição,20.583333333333332
Andaraí,46.93333333333334
Anil,33.76666666666667
Bangu,23.200000000000003
Barra da Tijuca,86.75
Benfica,7.9
Bento Ribeiro,35.56666666666667
Bonsucesso,24.0
Botafogo,68.39999999999999
Brás de Pina,19.966666666666665
Cachambi,44.916666666666664
Camorim,84.46666666666665
Campinho,21.650000000000002
Campo Grande,26.75
Cascadura,29.266666666666666
Catete,148.48333333333332
Cavalcanti,21.6
Centro,83.23333333333333
Cidade Nova,88.21666666666665
Colégio,23.666666666666668
Copacabana,95.23333333333333
Cordovil,24.266666666666666
Cosme Velho,38.2
Cosmos,24.21666666666667
Curicica,28.86666666666667
Del Castilho,33.016666666666666
Encantado,26.766666666666666
Engenheiro Leal,14.850000000000001
Engenho Novo,30.016666666666666
Engenho da Rainha,20.7
Engenho de Dentro,30.45
Estácio,66.83333333333333
Flamengo,108.5
Freguesia (Jacarepaguá),46.833333333333336
Gardênia Azul,39.3
Glória,209.54999999999998
Grajau,35.9
Grajaú,36.1
Guadalupe,30.76666666666667
Guaratiba,27.95
Gávea,42.00000000000001
Higienópolis,21.5
Honório Gurgel,29.03333333333333
Humaitá,85.83333333333333
Inhaúma,43.31666666666666
Inhoaíba,24.0
Ipanema,181.53333333333333
Irajá,31.5
Itanhangá,37.516666666666666
Jacarepaguá,42.01666666666667
Jacaré,26.5
Jardim América,20.2
Jardim Botânico,97.2
Jardim Guanabara,24.433333333333334
Jardim Guandu,22.6
Jardim Sulacap,29.03333333333333
Joá,23.7
Lagoa,81.05
Lapa,67.16666666666666
Laranjeiras,88.14999999999999
Leblon,151.04999999999998
Leme,198.6
Lins de Vasconcelos,29.78333333333333
Madureira,26.150000000000002
Maracanã,49.199999999999996
Marechal Hermes,21.05
Maria da Graça,34.2
Méier,35.81666666666667
Olaria,28.400000000000002
Osvaldo Cruz,27.866666666666664
Paciência,23.433333333333337
Padre Miguel,17.5
Parada de Lucas,29.433333333333337
Pavuna,18.2
Pechincha,37.88333333333333
Penha,32.63333333333333
Penha Circular,20.533333333333335
Piedade,31.98333333333333
Pilares,20.133333333333333
Pitangueiras,41.0
Portuguesa,35.233333333333334
Praça Seca,23.8
Praça da Bandeira,55.93333333333334
Quintino Bocaiúva,21.5
Ramos,22.600000000000005
Recreio dos Bandeirantes,59.9
Riachuelo,25.4
Ribeira,32.1
Rio Comprido,43.26666666666667
Rio de Janeiro - Rj,39.5
Rocha,36.416666666666664
Rocha Miranda,27.2
Sampaio,23.733333333333334
Santa Cruz,26.1
Santa Teresa,78.975
Santo Cristo,100.93333333333334
Santíssimo,26.866666666666664
Senador Vasconcelos,12.6
São Conrado,96.2
São Cristóvão,31.599999999999998
São Francisco Xavier,43.06666666666666
Tanque,27.95
Taquara,34.266666666666666
Tijuca,45.71666666666667
Todos os Santos,36.699999999999996
Tomás Coelho,28.633333333333336
Turiaçú,27.9
Urca,278.1
Vargem Grande,34.75
Vargem Pequena,30.900000000000002
Vaz Lobo,20.766666666666666
Vicente de Carvalho,51.1
Vigário Geral,22.96666666666667
Vila Isabel,37.56666666666667
Vila Kosmos,31.783333333333335
Vila Valqueire,24.76666666666667
Vila da Penha,40.71666666666667
Vista Alegre,14.2
Vl Valqueire,28.9
Váz Lobo,18.6
