BAIRRO,codbairro,codbnum,regiao_adm,codra,ra,rp,cod_rp,ap,area_plane,valor médio em salários mínimos,valor mediano em salários mínimos
Saúde,1,1,PORTUARIA,1,I Portuária,Centro,1.1,Área de Planejamento 1,1,2.748740718,2.612937294
Gamboa,2,2,PORTUARIA,1,I Portuária,Centro,1.1,Área de Planejamento 1,1,1.709170957,1.566963696
Santo Cristo,3,3,PORTUARIA,1,I Portuária,Centro,1.1,Área de Planejamento 1,1,1.7810033,1.848481848
Caju.4.4.PORTUARIA.1,I Portuária,Centro,1.1,Área de Planejamento 1,1,1.343060877,1.2180033
Centro,5,5,CENTRO,2,II Centro,Centro,1.1,Área de Planejamento 1,1,3.496661064,3.365462046
Catumbi,6,6,RIO COMPRIDO,3,III Rio Comprido,Centro,1.1,Área de Planejamento 1,1,1.694216806,1.390041254
Rio Comprido,7,7,RIO COMPRIDO,3,III Rio Comprido,Centro,1.1,Área de Planejamento 1,1,2.640825458,2.050255776
Cidade Nova,8,8,RIO COMPRIDO,3,III Rio Comprido,Centro,1.1,Área de Planejamento 1,1,3.05552874,1.726893564
Estácio,9,9,RIO COMPRIDO,3,III Rio Comprido,Centro,1.1,Área de Planejamento 1,1,2.345326283,1.822186469
São Cristóvão,10,10,SAO CRISTOVAO,7,VII São Cristóvão,Centro,1.1,Área de Planejamento 1,1,3.097451427,2.656241749
Mangueira,11,11,SAO CRISTOVAO,7,VII São Cristóvão,Centro,1.1,Área de Planejamento 1,1,1.387207313,1.158056931
Benfica,12,12,SAO CRISTOVAO,7,VII São Cristóvão,Centro,1.1,Área de Planejamento 1,1,1.678711642,1.545486799
Paquetá,13,13,PAQUETA,21,XXI Paquetá,Centro,1.1,Área de Planejamento 1,1,3.619106554,3.178444719
Santa Teresa,14,14,SANTA TEREZA,23,XXIII Santa Teresa,Centro,1.1,Área de Planejamento 1,1,3.167350374,2.943861386
Flamengo,15,15,BOTAFOGO,4,IV Botafogo,Zona Sul,2.1,Área de Planejamento 2,2,8.730303056,8.062087459
Glória,16,16,BOTAFOGO,4,IV Botafogo,Zona Sul,2.1,Área de Planejamento 2,2,6.520190486,5.386856436
Laranjeiras,17,17,BOTAFOGO,4,IV Botafogo,Zona Sul,2.1,Área de Planejamento 2,2,8.799487571,8.548716997
Catete,18,18,BOTAFOGO,4,IV Botafogo,Zona Sul,2.1,Área de Planejamento 2,2,4.922923542,4.761666667
