BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,MAGNITUDE,INDICE_INFORMALIDADE,RENDA MENSAL,TAXA DE ESFORÇO,LATITUDE,LONGITUDE,RISCO_TARGET,RISCO ALTO
Vidigal,210.4666666666667,614,5.0,273701,2.691,0.48586121780706176,2180.9,4.83,-22.9952094,-43.2408556,2,100.0
Camorim,89.21111111111111,4199,1.245,1682679,2.016,0.024360736760996687,2044.91,2.18,-22.9711394,-43.4311836,2,100.0
Cidade Nova,72.11944444444444,1960,1.426,345756,1.492,0.0,2612.06,1.38,-22.9100508,-43.201756,2,99.0
Vicente de Carvalho,49.9875,5278,1.107,292115,1.33,0.4205620500981225,2366.78,1.06,-22.8571804,-43.3157892,2,93.75
Santo Cristo,106.53888888888888,3911,1.315,177515,1.3,0.020264293080509872,2795.97,1.91,-22.9007657,-43.2033933,0,82.06
Jacarepaguá,49.33611111111112,36857,1.012,33775508,4.893,0.08061706036372211,2121.84,1.16,-22.9531726,-43.3715825,1,52.51
Guaratiba,27.70833333333333,15864,1.017,35276898,5.0,0.04780170675309186,2283.13,0.61,-22.9905839,-43.584923,1,50.0
Cosmos,25.069444444444443,13755,1.018,4516781,2.386,0.11611903148743197,2411.32,0.52,-22.9078051,-43.6144915,1,50.0
Vargem Grande,35.15,3521,1.113,15572315,3.888,0.01864273146200946,3622.3,0.49,-22.9707911,-43.4968914,1,50.0
Santa Cruz,28.83333333333333,40897,1.005,23345294,4.201,0.04834270575489096,2231.4,0.65,-22.9176248,-43.6834907,1,50.0
Vargem Pequena,35.300000000000004,6648,1.059,10011496,3.186,0.038408803426575454,4046.68,0.44,-22.9818187,-43.4578117,1,50.0
Inhoaíba,23.55,6730,1.037,2708309,2.077,0.3361771807871506,2271.0,0.52,-22.9131775,-43.5932975,1,50.0
Santíssimo,24.21111111111111,4875,1.055,4539029,2.442,0.1794860099545956,2709.51,0.45,-22.8751928,-43.5198512,1,49.75
Paciência,23.23888888888889,15477,1.014,14841011,3.561,0.17508493955815113,2358.03,0.49,-22.8987,-43.6369556,1,49.75
Itanhangá,43.96944444444444,4513,1.11,4401808,2.497,0.1208785800374813,2588.24,0.85,-22.9870911,-43.3049379,1,49.25
Realengo,24.266666666666666,29277,1.006,3747851,2.24,0.07033965267869269,2929.08,0.41,-22.8772743,-43.4301032,1,45.5
Bangu,22.7,45129,1.002,15392945,3.578,0.11054355684636215,2620.63,0.43,-22.8753053,-43.4648805,1,44.25
Estácio,62.70555555555556,3814,1.189,36829,1.08,0.32125729747129184,2756.2,1.14,-22.9166265,-43.20363,0,40.02
Mangueira,53.2,926,1.668,100513,1.283,1.0,1751.65,1.52,-22.9031898,-43.2357105,0,27.5
Santa Teresa,86.72916666666667,10266,1.095,453588,1.424,0.16378245536910366,4452.81,0.97,-22.9215542,-43.1860269,2,27.49
Cacuia,63.5,1978,1.371,117543,1.244,0.10756301601650868,2998.48,1.06,-22.8217028,-43.1837917,0,9.5
São Conrado,96.2,3910,1.284,2269698,2.231,0.008181068787811276,16562.34,0.29,-22.9913592,-43.2675329,0,8.75
Saúde,68.5,717,2.112,25248,1.153,0.0,3952.27,0.87,-22.8971835,-43.1841545,0,8.5
Recreio dos Bandeirantes,62.175,47152,1.012,19171173,3.915,0.042633494944725826,12405.92,0.25,-23.0185151,-43.4634021,0,7.0
Campo Grande,26.75,89855,1.0,26645069,4.408,0.036842274133328766,3814.09,0.35,-22.902953,-43.5591295,0,6.75
Barra da Tijuca,86.5,61796,1.013,15409715,3.608,0.0005468083949898878,17814.71,0.24,-22.9997404,-43.3659929,0,4.5
Joá,23.7,390,1.706,408597,1.662,0.0,13773.18,0.09,-23.0077797,-43.2872344,0,3.5
Penha Circular,21.53888888888889,12340,1.017,5772935,2.574,0.14616885576555816,3711.33,0.29,-22.8326425,-43.2842228,0,3.25
Praça da Bandeira,54.463888888888896,3486,1.179,16642,1.029,0.0,6393.94,0.43,-22.9112162,-43.2131983,0,3.0
Catumbi,33.6,2418,1.159,63541,1.124,0.5800267317311485,2102.54,0.8,-22.9194542,-43.1970806,0,2.75
Catete,142.9958333333333,7211,1.228,217784,1.313,0.23582813000720257,7202.38,0.99,-22.9269199,-43.1802186,0,2.5
Gardênia Azul,38.1,4203,1.102,277892,1.318,0.3542172182021754,2207.03,0.86,-22.9582866,-43.3512241,0,2.5
Inhaúma,46.6361111111111,9125,1.056,437197,1.397,0.1070636238512023,2751.68,0.85,-22.8715476,-43.2823466,0,2.25
Jardim Sulacap,27.67222222222222,4760,1.064,3833378,2.331,0.004363499573391518,6017.53,0.23,-22.8956799,-43.3929967,0,2.0
Pitangueiras,41.55,1430,1.336,110168,1.226,0.5232636418923585,2224.82,0.93,-22.8171281,-43.1799542,0,2.0
Senador Vasconcelos,19.55,4470,1.048,2971862,2.145,0.10639498614050232,2652.0,0.37,-22.8953684,-43.5288566,0,2.0
Tomás Coelho,31.272222222222226,6819,1.05,710011,1.523,0.38299903902331145,2758.79,0.57,-22.8676979,-43.3060881,0,1.5
São Francisco Xavier,50.69444444444444,2924,1.199,234010,1.318,0.2943521266610749,4653.59,0.54,-22.9047617,-43.2440314,0,1.5
Pavuna,18.2,18951,1.008,2044400,1.898,0.2945148012271725,2590.19,0.35,-22.8121927,-43.3592811,0,1.5
Gávea,79.96666666666667,6414,1.142,488794,1.465,0.03912466440874139,15733.0,0.25,-22.9814243,-43.2383245,0,1.5
Lagoa,94.45,9094,1.118,71335,1.128,0.0,21896.96,0.22,-22.9624658,-43.2024884,0,1.5
São Cristóvão,38.13333333333333,9018,1.046,357971,1.349,0.0,4017.77,0.47,-22.899318,-43.2219346,0,1.25
Tijuca,50.60277777777778,49028,1.009,687909,1.491,0.24557134323077515,10097.87,0.25,-22.9247351,-43.2327165,0,0.75
Vila da Penha,36.269444444444446,9996,1.039,18140,1.021,0.0,5564.43,0.33,-22.8435065,-43.3100585,0,0.75
Água Santa,37.95,2206,1.197,938618,1.709,0.06578942669422395,3836.48,0.49,-22.9111428,-43.3121258,0,0.75
Vila Kosmos,27.222222222222225,4514,1.067,274414,1.303,0.17503605863400862,3131.46,0.43,-22.853597,-43.3032021,0,0.75
Taquara,34.91111111111111,32719,1.009,3174771,2.139,0.0706956461840135,4655.31,0.37,-22.9218864,-43.384646,0,0.75
Praça Seca,25.33333333333333,16312,1.015,2290394,1.962,0.4689956461885199,3976.69,0.32,-22.8992621,-43.3527794,0,0.75
Leblon,154.65,22244,1.078,73218,1.123,0.0,20195.51,0.38,-22.9834608,-43.2249656,0,0.75
Jardim Botânico,97.84999999999998,6789,1.165,421699,1.437,0.05797261977090088,17415.02,0.28,-22.9636362,-43.2233457,0,0.5
Cavalcanti,21.65,3773,1.064,687778,1.522,0.2978185143740514,2826.08,0.38,-22.8705266,-43.3165261,0,0.5
Glória,153.85833333333335,4798,1.371,19044,1.054,0.0,8148.03,0.94,-22.9183225,-43.1739232,0,0.5
Padre Miguel,17.75,9958,1.017,1236081,1.689,0.2984517140279072,2795.06,0.32,-22.8788135,-43.4485569,0,0.5
Centro,97.72222222222224,22557,1.047,106265,1.157,0.0008870709751811345,5090.52,0.96,-22.2800004,-42.5325303,0,0.5
Del Castilho,44.68611111111111,5441,1.092,321941,1.344,0.19159837040251473,3848.61,0.58,-22.8795618,-43.2724202,0,0.5
Vigário Geral,21.355555555555554,4909,1.047,657873,1.499,0.43685861516443203,2393.85,0.45,-22.8095333,-43.3097039,0,0.5
Sampaio,31.655555555555555,2022,1.179,156219,1.241,0.2591710885331258,3268.17,0.48,-22.9022287,-43.2602402,0,0.5
Penha,38.08888888888889,14944,1.026,1060606,1.639,0.2554340108422152,3089.56,0.62,-22.8381127,-43.2764454,0,0.25
