BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE
Cidade Nova,104.8,1960,2.676,345756,1.95,2438.34,2.15
Camorim,81.1,4199,1.599,1682679,2.279,1908.91,2.12
Santo Cristo,106.0,3911,1.845,177515,1.427,2610.02,2.03
Glória,228.0,4798,2.488,19044,1.142,7606.13,1.5
Estácio,68.2,3814,1.554,36829,1.112,2572.89,1.33
Vicente de Carvalho,56.85,5278,1.33,292115,1.389,2209.38,1.29
Catete,147.7,7211,1.636,217784,1.418,6723.38,1.1
Jacarepaguá,39.5,36857,1.024,33775508,4.824,1980.72,1.0
Pitangueiras,41.0,1430,1.894,110168,1.329,2076.86,0.99
Urca,278.1,2186,5.0,7355,1.198,14236.35,0.98
Centro,91.8,22557,1.119,106265,1.156,4751.97,0.97
Inhaúma,49.5,9125,1.162,437197,1.421,2568.67,0.96
Gardênia Azul,39.3,4203,1.285,277892,1.361,2060.24,0.95
Santa Teresa,78.8,10266,1.233,453588,1.462,4156.67,0.95
Rio Comprido,47.2,8898,1.158,433382,1.417,2894.92,0.82
Riachuelo,70.8,5127,1.426,179589,1.313,4313.61,0.82
Itanhangá,38.9,4513,1.262,4401808,2.655,2416.11,0.81
Parada de Lucas,29.8,5906,1.15,115747,1.174,2186.58,0.68
Rocha,36.65,5730,1.192,69275,1.123,2709.5,0.68
Guaratiba,28.5,15864,1.047,35276898,5.0,2131.29,0.67
Jacaré,26.5,1899,1.431,41416,1.108,2000.28,0.66
Inhoaíba,27.4,6730,1.119,2708309,2.126,2119.96,0.65
Penha,37.0,14944,1.069,1060606,1.64,2884.09,0.64
Santa Cruz,26.1,40897,1.011,23345294,4.124,2083.0,0.63
Cosmos,26.6,13755,1.052,4516781,2.385,2250.95,0.59
Tomás Coelho,29.4,6819,1.127,710011,1.54,2575.31,0.57
Honório Gurgel,30.4,4540,1.202,349627,1.383,2655.16,0.57
Vila Kosmos,31.950000000000003,4514,1.214,274414,1.334,2923.19,0.55
Flamengo,125.5,25506,1.146,30889,1.049,11383.51,0.55
Cordovil,24.25,9568,1.071,575130,1.45,2231.08,0.54
Ipanema,186.9,21788,1.261,10130,1.0,17367.44,0.54
São Francisco Xavier,46.9,2924,1.496,234010,1.392,4344.1,0.54
Bangu,26.6,45129,1.009,15392945,3.516,2446.34,0.54
Piedade,33.55,11980,1.079,414532,1.373,3184.36,0.53
Paciência,23.3,15477,1.038,14841011,3.542,2201.21,0.53
Vargem Grande,34.849999999999994,3521,1.303,15572315,4.293,3381.39,0.52
Santíssimo,26.1,4875,1.159,4539029,2.538,2529.31,0.52
Bento Ribeiro,37.75,9612,1.114,239241,1.274,3715.36,0.51
Vigário Geral,22.0,4909,1.132,657873,1.52,2234.64,0.49
Praça da Bandeira,58.55,3486,1.52,16642,1.045,5968.7,0.49
Guadalupe,28.1,10160,1.078,413963,1.372,2916.05,0.48
Turiaçú,27.9,3392,1.25,982607,1.73,2923.07,0.48
Rocha Miranda,27.2,9197,1.084,559305,1.449,2970.35,0.46
Maria da Graça,34.2,2777,1.379,12964,1.02,3812.09,0.45
Osvaldo Cruz,30.15,8344,1.105,144150,1.192,3408.1,0.44
Irajá,33.0,26601,1.03,800951,1.522,3773.31,0.44
Leblon,158.1,22244,1.215,73218,1.133,18852.38,0.42
Tanque,28.7,5942,1.143,1155738,1.724,3440.91,0.42
Cavalcanti,22.15,3773,1.176,687778,1.557,2638.13,0.42
Colégio,19.8,4520,1.129,231194,1.273,2375.98,0.42
Madureira,26.4,12583,1.057,700308,1.497,3208.21,0.41
Brás de Pina,20.8,13117,1.041,402500,1.35,2560.06,0.41
Cascadura,24.450000000000003,8761,1.079,507252,1.421,3020.98,0.4
Copacabana,87.55,75872,1.027,217411,1.231,11062.82,0.4
Curicica,26.6,6261,1.125,1058481,1.677,3322.18,0.4
Engenho Novo,30.0,13788,1.059,605366,1.458,3727.65,0.4
Del Castilho,28.0,5441,1.153,321941,1.346,3592.66,0.39
Encantado,26.2,4667,1.168,35902,1.062,3402.12,0.39
Vargem Pequena,29.3,6648,1.13,10011496,3.264,3777.55,0.39
Andaraí,50.0,12440,1.117,151016,1.202,6496.65,0.38
Taquara,33.2,32719,1.023,3174771,2.114,4345.71,0.38
Sampaio,23.2,2022,1.352,156219,1.268,3050.81,0.38
Pavuna,18.2,18951,1.021,2044400,1.875,2417.92,0.38
Campo Grande,26.45,89855,1.0,26645069,4.306,3560.43,0.37
Cachambi,40.2,13204,1.087,76274,1.114,5501.64,0.37
Laranjeiras,89.0,19761,1.133,216449,1.263,12070.62,0.37
Olaria,28.8,15376,1.05,352640,1.326,3896.67,0.37
Engenho da Rainha,19.8,4228,1.138,814235,1.591,2768.23,0.36
Engenho de Dentro,31.200000000000003,16654,1.05,1856856,1.856,4320.24,0.36
Portuguesa,37.5,6950,1.161,23031,1.032,5167.89,0.36
Lins de Vasconcelos,27.35,9058,1.086,498043,1.42,3912.8,0.35
Padre Miguel,17.5,9958,1.046,1236081,1.68,2609.17,0.34
São Cristóvão,25.2,9018,1.079,357971,1.341,3750.56,0.34
Vaz Lobo,23.2,2860,1.246,190086,1.273,3400.44,0.34
Vila da Penha,33.9,9996,1.098,18140,1.014,5194.36,0.33
Quintino Bocaiúva,22.3,8565,1.073,209404,1.239,3451.27,0.32
Ramos,23.1,10417,1.061,190054,1.22,3603.62,0.32
Jardim América,18.7,6313,1.084,223535,1.253,3041.17,0.31
São Conrado,96.2,3910,1.766,2269698,2.664,15460.84,0.31
Humaitá,84.6,6964,1.374,197026,1.317,13811.53,0.31
Praça Seca,22.5,16312,1.034,2290394,1.944,3712.21,0.3
Bonsucesso,22.6,7383,1.087,175780,1.216,3917.38,0.29
Freguesia (Jacarepaguá),46.1,22038,1.057,1211889,1.681,7864.41,0.29
Todos os Santos,41.5,8051,1.153,124045,1.183,7053.52,0.29
Pilares,17.5,6903,1.071,104684,1.144,3063.2,0.29
Pechincha,38.15,12647,1.086,294368,1.304,6664.13,0.29
Marechal Hermes,19.7,9598,1.055,424495,1.368,3385.05,0.29
Penha Circular,20.3,12340,1.043,5772935,2.562,3464.51,0.29
Anil,30.1,10877,1.078,614694,1.472,5369.67,0.28
Jardim Botânico,91.6,6789,1.416,421699,1.52,16256.81,0.28
Méier,37.7,16931,1.061,38355,1.053,6844.58,0.28
Higienópolis,21.5,5083,1.124,42367,1.069,3831.74,0.28
Vila Isabel,37.150000000000006,27838,1.033,311784,1.295,6915.71,0.27
Recreio dos Bandeirantes,60.45,47152,1.031,19171173,3.881,11580.85,0.26
Barra da Tijuca,86.05,61796,1.035,15409715,3.585,16629.92,0.26
Engenheiro Leal,13.8,1135,1.374,97596,1.199,2628.93,0.26
Maracanã,50.5,11655,1.127,46457,1.076,9694.16,0.26
Jardim Sulacap,28.1,4760,1.177,3833378,2.43,5617.33,0.25
Ribeira,32.1,1491,1.669,56619,1.177,6857.41,0.23
Grajaú,37.5,13807,1.076,400681,1.364,8350.43,0.22
Tijuca,41.400000000000006,49028,1.017,687909,1.471,9426.29,0.22
Campinho,17.5,2269,1.234,128962,1.208,3959.43,0.22
Botafogo,56.2,37501,1.038,274254,1.274,12769.53,0.22
Abolição,19.0,3821,1.147,20761,1.025,4351.76,0.22
Leme,53.9,5762,1.286,15232,1.021,12905.11,0.21
Lagoa,81.05,9094,1.272,71335,1.14,20440.67,0.2
Vila Valqueire,23.200000000000003,12381,1.05,650275,1.473,5847.21,0.2
Cosme Velho,38.2,1717,1.692,163167,1.365,10247.67,0.19
Jardim Guanabara,25.2,11615,1.059,134343,1.172,9863.93,0.13
Gávea,36.400000000000006,6414,1.17,488794,1.454,14686.65,0.12
