BAIRRO,PREÇO POR METRO,UNIDADES RESIDENCIAIS,ÍNDICE DE PRESSÃO,ÁREA TERRITORIAL DISPONÍVEL,SCORE FINAL,INDICE_INFORMALIDADE,RENDA MENSAL,ÍNDICE DE ACESSIBILIDADE
Vidigal,220.8,614,5.0,273701,2.695,0.19614983873339245,2180.9,5.06
Santo Cristo,100.9,3911,1.284,177515,1.293,0.008181014812683983,2795.97,1.8
Jacarepaguá,65.9,36857,1.017,33775508,4.92,0.032546379109813436,2121.84,1.55
Camorim,60.9,4199,1.158,1682679,1.943,0.009834813753325051,2044.91,1.49
Cidade Nova,52.0,1960,1.292,345756,1.441,0.0,2612.06,1.0
Vicente de Carvalho,46.0,5278,1.094,292115,1.327,0.1697875345483741,2366.78,0.97
Catete,137.89999999999998,7211,1.21,217784,1.309,0.09520753658523019,7202.38,0.96
Pitangueiras,42.1,1430,1.324,110168,1.225,0.21124978740944061,2224.82,0.95
Centro,94.9,22557,1.043,106265,1.158,0.00035812454740104683,5090.52,0.93
Estácio,48.3,3814,1.138,36829,1.076,0.12969663924882938,2756.2,0.88
Gardênia Azul,36.9,4203,1.094,277892,1.318,0.14300307923432234,2207.03,0.84
Santa Teresa,74.1,10266,1.077,453588,1.418,0.06612156111782133,4452.81,0.83
Itanhangá,43.2,4513,1.103,4401808,2.491,0.048800589780946396,2588.24,0.83
Catumbi,33.6,2418,1.151,63541,1.124,0.23416594229033735,2102.54,0.8
Santa Cruz,30.05,40897,1.005,23345294,4.208,0.019516712983507233,2231.4,0.67
Del Castilho,49.05,5441,1.097,321941,1.348,0.07735128484973681,3848.61,0.64
Vargem Grande,45.150000000000006,3521,1.139,15572315,3.964,0.007526364805011542,3622.3,0.62
Parada de Lucas,29.2,5906,1.052,115747,1.17,0.1184920385817338,2342.36,0.62
Penha,38.0,14944,1.025,1060606,1.641,0.10312273998708094,3089.56,0.61
Tomás Coelho,33.1,6819,1.051,710011,1.526,0.15462275437118647,2758.79,0.6
