BAIRRO,PREÇO POR METRO
Abolição,19.0
Andaraí,38.65
Anil,30.6
Bangu,32.150000000000006
Barra da Tijuca,85.8
Bento Ribeiro,37.75
Bonsucesso,22.6
Botafogo,40.8
Brás de Pina,21.549999999999997
Cachambi,49.7
Camorim,86.15
Campinho,17.5
Campo Grande,26.6
Cascadura,28.25
Catete,136.35
Cavalcanti,21.6
Centro,91.8
Cidade Nova,104.8
Colégio,19.799999999999997
Copacabana,93.95
Cordovil,24.25
Cosme Velho,38.2
Cosmos,26.95
Curicica,26.3
Del Castilho,38.45
Encantado,26.1
Engenheiro Leal,13.8
Engenho Novo,29.75
Engenho da Rainha,19.8
Engenho de Dentro,29.9
Estácio,55.150000000000006
Flamengo,125.5
Freguesia (Jacarepaguá),46.650000000000006
Gardênia Azul,39.3
Glória,228.0
Grajau,35.9
Grajaú,50.8
Guadalupe,28.1
Guaratiba,28.5
Gávea,36.400000000000006
Higienópolis,21.5
Honório Gurgel,30.4
Humaitá,84.6
Inhaúma,48.55
Inhoaíba,25.049999999999997
Ipanema,184.2
Irajá,26.05
Itanhangá,37.4
Jacarepaguá,39.8
Jacaré,26.5
Jardim América,20.0
Jardim Botânico,113.1
Jardim Guanabara,23.4
Jardim Guandu,22.6
Jardim Sulacap,28.1
Lagoa,81.05
Lapa,68.94999999999999
Laranjeiras,89.0
Leblon,152.5
Lins de Vasconcelos,27.6
Madureira,27.15
Maracanã,50.5
Marechal Hermes,19.7
Maria da Graça,34.2
Méier,34.0
Olaria,28.8
Osvaldo Cruz,30.15
Paciência,20.85
Padre Miguel,17.5
Parada de Lucas,29.8
Pavuna,17.9
Pechincha,43.1
Penha,36.0
Penha Circular,20.3
Piedade,38.8
Pilares,19.8
Pitangueiras,41.0
Portuguesa,37.5
Praça Seca,22.5
Praça da Bandeira,58.550000000000004
Quintino Bocaiúva,21.5
Ramos,37.45
Recreio dos Bandeirantes,61.400000000000006
Riachuelo,30.9
Ribeira,32.1
Rio Comprido,47.2
Rocha,34.3
Rocha Miranda,27.2
Sampaio,23.2
Santa Cruz,26.1
Santa Teresa,78.8
Santo Cristo,108.5
Santíssimo,26.1
São Conrado,96.2
São Cristóvão,31.8
São Francisco Xavier,46.9
Tanque,28.8
Taquara,34.8
Tijuca,41.400000000000006
Todos os Santos,41.0
Tomás Coelho,29.4
Vargem Grande,35.349999999999994
Vargem Pequena,28.3
Vaz Lobo,23.2
Vicente de Carvalho,56.849999999999994
Vigário Geral,22.0
Vila Isabel,37.2
Vila Kosmos,31.950000000000003
Vila Valqueire,25.6
Vila da Penha,34.1
Vista Alegre,57.9
