BAIRRO,PREÇO POR METRO
Abolição,27.75
Andaraí,39.8
Anil,36.2
Bangu,24.8
Barra da Tijuca,86.5
Bento Ribeiro,22.0
Bonsucesso,39.25
Botafogo,106.2
Brás de Pina,19.2
Cachambi,37.2
Camorim,60.9
Campinho,26.9
Campo Grande,27.0
Cascadura,33.0
Catete,137.89999999999998
Catumbi,33.6
Centro,94.9
Cidade Nova,52.0
Copacabana,100.4
Cordovil,28.4
Cosmos,25.3
Curicica,28.7
Del Castilho,49.05
Encantado,26.2
Engenho Novo,31.5
Engenho da Rainha,22.75
Engenho de Dentro,33.5
Estácio,48.3
Flamengo,100.6
Freguesia (Jacarepaguá),46.0
Gardênia Azul,36.9
Glória,80.7
Grajaú,55.900000000000006
Guadalupe,37.0
Guaratiba,26.35
Gávea,121.7
Higienópolis,37.75
Humaitá,114.39999999999999
Ilha do Governador,39.9
Inhauma,40.8
Inhaúma,28.8
Inhoaíba,25.15
Ipanema,120.05000000000001
Irajá,28.2
Itanhangá,43.2
Jacarepaguá,65.9
Jardim America,18.3
Jardim América,25.5
Jardim Botânico,129.05
Jardim Guanabara,45.6
Jardim Sulacap,29.25
Lagoa,103.9
Lapa,99.2
Laranjeiras,106.7
Leme,155.6
Lins de Vasconcelos,34.5
Madureira,26.3
Maracanã,51.25
Marechal Hermes,24.2
Maria da Graça,36.1
Moneró,33.0
Méier,34.9
Olaria,33.2
Osvaldo Cruz,26.65
Paciência,28.4
Parada de Lucas,29.2
Pechincha,38.85
Penha,38.0
Penha Circular,24.1
Piedade,32.7
Pilares,25.75
Pitangueiras,42.1
Portuguesa,42.0
Praca da Bandeira,35.4
Praia da Bandeira,38.5
Praça Seca,29.95
Praça da Bandeira,58.900000000000006
Quintino Bocaiúva,28.8
Ramos,36.55
Realengo,25.75
Recreio,36.4
Recreio dos Bandeirantes,66.1
Riachuelo,36.2
Rio Comprido,34.8
Rio de Janeiro - Rj,35.1
Sampaio,29.3
Santa Cruz,30.049999999999997
Santa Teresa,74.1
Santo Cristo,100.9
Santíssimo,17.75
Senador Vasconcelos,26.5
São Cristóvão,33.55
São Francisco Xavier,54.400000000000006
Tanque,28.7
Taquara,36.3
Tijuca,58.4
Todos os Santos,41.15
Tomás Coelho,33.1
Urca,128.2
Vargem Grande,45.150000000000006
Vargem Pequena,42.05
Vaz Lobo,24.1
Vicente de Carvalho,46.0
Vidigal,220.8
Vila Isabel,47.7
Vila Kosmos,17.6
Vila Valqueire,26.8
Vila da Penha,34.6
Vista Alegre,25.7
Água Santa,37.95
