objectid,cl,nome_completo,area_plane,cod_rp,rp,codra,regiao_adm,cb_imovel,nome,tributacao,tipologia,tot_imoveis,areaconst_res,exercicio
50067,081539,Rua Doutor Alfredo Barcelos,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,163,11014,2025
50068,081794,Rua Silva Souza,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,51,3938,2025
50069,082628,Rua Teotônio de Brito,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,33,2240,2025
50070,124677,Rua Dom João III,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,2,174,2025
50071,070417,Rua Drumond,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,60,3695,2025
50072,071548,Rua Fernandes Machado,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,20,1647,2025
50073,071829,Rua Firmino Gameleira,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,126,8141,2025
50074,073171,Rua Guaratinguetá,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,94,6253,2025
50075,074252,Rua Jerônimo Ferreira,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,6,339,2025
50076,074674,Rua Joaquim Rego,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,192,13650,2025
50077,075325,Rua Leonídia,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,59,3887,2025
50078,076430,Rua Betania,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,19,996,2025
50079,077743,Rua Nair,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,7,464,2025
50080,083006,Rua Uranos,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,119,8124,2025
50081,083261,Rua Vitorino do Amaral,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,28,1738,2025
50082,083857,Rua Vandenkolk,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,84,6015,2025
50083,035105,Rua Camobi,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,4,78,2025
50084,042614,Rua Pinto Junior,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,1,40,2025
50085,065375,Rua Antonio de Lemos,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,93,6033,2025
50086,066977,Rua Blandina Pires,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,4,160,2025
50087,070821,Estrada do Engenho da Pedra,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,122,8185,2025
50088,071308,Rua Fausto Amaral,3,3.1,Ramos,10,RAMOS                   ,042,Olaria                    ,R,APARTAMENTO                             ,17,1008,2025
