objectid,cl,nome_completo,area_plane,cod_rp,rp,codra,regiao_adm,cb_imovel,nome,tributacao,tot_imoveis,area_territ,exercicio
21309,019596,Rua Dias Vieira,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,1696,2025
21310,020412,Rua Doutor Bernardino,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,4968,2025
21311,022756,Rua Florianópolis,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,41,549222,2025
21312,022897,Rua Francisco,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,15,9447,2025
21313,023671,Rua Major Ribeiro Pinheiro,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,4,668,2025
21314,024281,Rua Guarapes,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,1152,2025
21315,025379,Rua Ica,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,1236,2025
21316,026260,Rua Gastão Taveira,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,6,39971,2025
21317,026864,Rua Japura,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,14,7476,2025
21318,027060,Rua Jerônimo Pinto,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,3,8449,2025
21319,027664,Rua Pereira Frazão,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,1,225,2025
21320,030791,Beco Mario Pereira,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,13,12880,2025
21321,030874,Rua Maricá,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,5,3919,2025
21322,030924,Rua Mário,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,2338,2025
21323,033811,Rua Parintins,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,3,1315,2025
21324,033829,Rua Carima,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,4,8395,2025
21325,034306,Rua Pedro Teles,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,20,4661,2025
21326,034827,Rua Pinto Teles,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,23,12338,2025
21327,034835,Travessa Pinto Teles,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,1034,2025
21328,041012,Rua Trairi,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,1,1452,2025
21329,042317,Rua Luiz Beltrão,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,5859,2025
21330,051672,Rua Comandante Simião,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,1,378,2025
21331,052167,Rua Sargento Sebastião Chaves,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,55,21768,2025
21332,052670,Rua A,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,10,4089,2025
21333,053140,Travessa Antonina,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,5422,2025
21334,053447,Rua Desembargador Gastão Macedo,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,5,1315,2025
21335,055202,Rua Doutor Carlos Gross,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,3,1726,2025
21336,056150,Rua Sargento Luiz Pires,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,7,2448,2025
21337,089300,Rua Santa Genoveva,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,1054,2025
21338,089326,Rua São Lázaro,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,20,11825,2025
21339,091082,Rua Gustavo Doria,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,43,26638,2025
21340,091090,Travessa Gustavo Dória,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,3,1676,2025
21341,091108,Rua G - PAL 15293,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,3,1649,2025
21342,091116,Rua São Marciano,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,16,4857,2025
21343,091124,Rua Cosme e Damião,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,1,601,2025
21344,091132,Rua J - PAL 15293,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,12,8375,2025
21345,091140,Rua Santo Osvaldo,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,1,523,2025
21346,097626,Rua Mamanguape,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,1,368,2025
21347,138362,Rua Carlos Alves Rangel,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,4,1006,2025
21348,150755,Rua Lagoa da Prata,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,15,1853,2025
21349,150763,Rua Ilicínea,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,6,780,2025
21350,150771,Rua Dores de Campos,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,3,412,2025
21351,150805,Rua Lamin,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,1,120,2025
21352,162263,Rua A - PAL 35971,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,16,12994,2025
21353,162271,Rua B - PAL 35971,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,13,5789,2025
21354,162289,Rua C - PAL 35971,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,7,24000,2025
21355,162297,Rua D - PAL 35971,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,2,20215,2025
21356,171108,Rua A - PAL 33982,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,13,6108,2025
21357,171116,Rua Francisco de Abreu Ferro,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,24,65234,2025
21358,171124,Rua C - PAL 33982,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,22,45703,2025
21359,198333,Rua Flávio Império,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,124,Praça Seca                ,T,5,12138,2025
21360,011130,Rua Alves do Vale,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,5,2750,2025
21361,012641,Rua das Azaléias,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,2,1170,2025
21362,014639,Rua Bruges,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,7,3530,2025
21363,015610,Rua das Camélias,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,3,1600,2025
21364,016501,Rua Carlos Emilio,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,3,25100,2025
21365,018440,Rua das Cravinas,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,1,225,2025
21366,019554,Rua das Dálias,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,1,500,2025
21367,020388,Rua Sibauna,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,5,2500,2025
21368,025171,Rua dos Crisântemos,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,1,125,2025
21369,026476,Rua Izidora,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,2,1000,2025
21370,027680,Rua Torquato Lamarão,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,3,1200,2025
21371,028571,Rua dos Lilases,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,1,400,2025
21372,029389,Rua Quiririm,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,19,153014,2025
21373,030452,Rua das Margaridas,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,2,787,2025
21374,030932,Rua Mario Barbedo,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,11,8480,2025
21375,031534,Rua Monclaro Mena Barreto,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,6,3000,2025
21376,032052,Rua Namur,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,9,4017,2025
21377,037267,Rua das Rosas,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,19,55794,2025
21378,041608,Rua das Tulipas,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,6,2724,2025
21379,042317,Rua Luiz Beltrão,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,29,18999,2025
21380,050195,Praça Saiqui,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,2,867,2025
21381,050377,Rua Urucuia,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,13,17182,2025
21382,050385,Rua Jaunas,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,5,22593,2025
21383,050401,Rua Tejo,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,20,103697,2025
21384,050419,Rua Bore,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,7,14529,2025
21385,050427,Rua Arauana,4,4.1,Jacarepaguá,16,JACAREPAGUA             ,125,Vila Valqueire            ,T,5,10435,2025
