objectid,cod_favela,nome,situacao,cod_comple,complexo,data_cadas,cod_bairro,bairro,cod_ra,ra,cod_rp,rp,cod_ap,pop_sabren,dom_sabren,fonte,upp,cod_bair_1,area,shape_Length,shape_Area
1,927,Comendador Lisboa,1,2053,Grota,2009/01/15 00:00:00+00,83,Madureira,15,Madureira,3.3,Madureira,3,141,72,IPP com base em IBGE - Censo Demográfico 2022,,083,4320.87946503,350.780566564615,4320.8794650681
2,926,Parque da Comunidade Vila Arco Íris,1,2092,Colônia Juliano Moreira,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,459,173,IPP com base em IBGE - Censo Demográfico 2022,,115,18062.7325199,805.545475738866,18062.7325198627
3,925,Vila Rio Grande,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,127,56,IPP com base em IBGE - Censo Demográfico 2022,,115,8776.70158693,400.946769620364,8776.70158697561
4,924,Caminho Novo da Represa,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,67,28,IPP com base em IBGE - Censo Demográfico 2022,,115,9498.58661425,612.45113411283,9498.58661415328
5,923,Caminho dos Calharins,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,161,54,IPP com base em IBGE - Censo Demográfico 2022,,115,12614.66454762,560.875749740148,12614.6645476425
6,922,Estrada do Pau da Fome,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,76,35,IPP com base em IBGE - Censo Demográfico 2022,,115,15430.00841845,935.003716772908,15430.0084185178
7,921,Santa Maria II,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,76,25,IPP com base em IBGE - Censo Demográfico 2022,,115,7327.6664827,736.264381369952,7327.66648275644
8,920,Vila O - Conj. Vila Nova Cruzada,1,2101,Via O,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,22,8,IPP com base em IBGE - Censo Demográfico 2022,,115,1249.95586217,375.249260257885,1249.95586217814
9,905,Estrada Pedro Borges de Freitas (próxima ao nº 323),2,0,Isolada,2009/01/15 00:00:00+00,76,Irajá,14,Irajá,3.3,Madureira,3,224,78,IPP com base em IBGE - Censo Demográfico 2022,,076,9070.75580131,1707.94170588575,9070.75580130097
10,904,Estrada de Inhoaíba (próxima Lt 02 - Qd 32),2,0,Isolada,2009/01/15 00:00:00+00,146,Inhoaíba,18,Campo Grande,5.2,Campo Grande,5,311,121,IPP com base em IBGE - Censo Demográfico 2022,,146,10136.30603813,412.38258265819,10136.3060381331
11,919,Vila da Conquista,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,1059,405,IPP com base em IBGE - Censo Demográfico 2022,,115,47082.95116394,2851.97464040382,47082.9511640802
12,918,Avenida Sampaio Correa,1,2092,Colônia Juliano Moreira,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,217,101,IPP com base em IBGE - Censo Demográfico 2022,,115,25228.37057615,909.263825034787,25228.3705762238
13,917,Comunidade Campo da Paz,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,459,221,IPP com base em IBGE - Censo Demográfico 2022,,115,14378.72475749,1041.40027036309,14378.7247575546
14,900,"Rua Dona Emilia, nº 5",2,0,Isolada,2009/01/15 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,33,17,IPP com base em IBGE - Censo Demográfico 2022,,054,4107.42685978,417.291369563076,4107.4268597766
15,916,Caminho do Fincão,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,91,31,IPP com base em IBGE - Censo Demográfico 2022,,115,15389.11291154,1339.09206764613,15389.1129115376
16,903,Parque Everest (Rua Arquibui),1,2036,Parque Everest,2009/01/15 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,35,13,IPP com base em IBGE - Censo Demográfico 2022,,054,3442.17044482,489.97720979438,3442.17044481747
17,915,Caminho da Cachoeira,2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,143,57,IPP com base em IBGE - Censo Demográfico 2022,,115,21141.49537715,1678.75285878573,21141.4953770393
18,914,Estrada do Rio Pequeno (próxima à rua 1),2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,87,37,IPP com base em IBGE - Censo Demográfico 2022,,115,6053.15361688,568.9004915092,6053.15361680763
19,913,Avenida Menezes Cortes (com Estrada dos Três Rios),2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,15,8,IPP com base em IBGE - Censo Demográfico 2022,,115,5986.82190289,658.469518037289,5986.82190269341
20,912,"Avenida Menezes Cortes, nº 12",2,0,Isolada,2009/01/15 00:00:00+00,115,Jacarepaguá,16,Jacarepaguá,4.1,Jacarepaguá,4,109,37,IPP com base em IBGE - Censo Demográfico 2022,,115,5601.07485166,490.872103592967,5601.07485165023
21,911,Antiga Company,1,2083,Jacarezinho,2009/01/15 00:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,11,5,IPP com base em IBGE - Censo Demográfico 2022,,051,1459.53095925,161.80144878129,1459.5309592523
22,910,"Engenheiro Alberto Moas, próxima ao nº 75",1,2083,Jacarezinho,2009/01/15 00:00:00+00,51,Jacaré,13,Méier,3.2,Méier,3,34,15,IPP com base em IBGE - Censo Demográfico 2022,,051,2461.59528376,274.830508187033,2461.59528375862
23,908,Regata,2,0,Isolada,2009/01/15 00:00:00+00,127,Itanhangá,24,Barra da Tijuca,4.2,Barra da Tijuca,4,1625,793,IPP com base em IBGE - Censo Demográfico 2022,,127,28500.40629711,1168.99429681257,28500.4062971652
24,907,"Estrada de Jacarepaguá, nº 2.679",2,0,Isolada,2009/01/15 00:00:00+00,127,Itanhangá,24,Barra da Tijuca,4.2,Barra da Tijuca,4,39,13,IPP com base em IBGE - Censo Demográfico 2022,,127,4893.47600863,294.860989621103,4893.47600861492
25,906,Nossa Senhora da Apresentação,2,0,Isolada,2009/01/15 00:00:00+00,76,Irajá,14,Irajá,3.3,Madureira,3,486,182,IPP com base em IBGE - Censo Demográfico 2022,,076,14956.66475998,936.66231383929,14956.6647599855
26,902,Casarão,2,0,Isolada,2009/01/15 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,18,9,IPP com base em IBGE - Censo Demográfico 2022,,054,1487.84359777,158.118799268372,1487.84359779586
27,901,Linha Amarela (acesso à Av. Automóvel Clube),1,2039,Rua Lagoa Redonda,2009/01/15 00:00:00+00,54,Inhaúma,12,Inhaúma,3.4,Inhaúma,3,3,2,IPP com base em IBGE - Censo Demográfico 2022,,054,2678.72449641,251.932527010033,2678.72449641995
28,1002,Mina,2,0,Isolada,2009/01/15 00:00:00+00,150,Sepetiba,19,Santa Cruz,5.3,Santa Cruz,5,180,85,IPP com base em IBGE - Censo Demográfico 2022,,150,13761.26903135,505.715508749657,13761.2690312029
29,899,Granja Avícola Pastoril,2,0,Isolada,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,40,19,IPP com base em IBGE - Censo Demográfico 2022,,151,12553.97184777,846.340546308311,12553.9718477095
30,898,Bairro ABC,2,0,Isolada,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,17,8,IPP com base em IBGE - Censo Demográfico 2022,,151,5147.8999142,453.184883111937,5147.89991422797
31,897,Travessa dos Vieiras,2,0,Isolada,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,73,29,IPP com base em IBGE - Censo Demográfico 2022,,151,4256.96383002,293.645030798314,4256.96383003185
32,896,"Estrada do Mato Alto, nº 5.078",2,0,Isolada,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,102,41,IPP com base em IBGE - Censo Demográfico 2022,,151,10152.82842603,525.301421918178,10152.8284260539
33,894,Estrada da Cachamorra,1,2144,Largo do Corrêa 1,2009/01/15 00:00:00+00,151,Guaratiba,26,Guaratiba,5.4,Guaratiba,5,786,329,IPP com base em IBGE - Censo Demográfico 2022,,151,84456.73369659,1634.55352550798,84456.733696593
